osmid,highway,oneway,reversed,length,geometry,lanes,name,maxspeed,ref
778788452,footway,False,False,96.736,"LINESTRING (35.6528061 139.5558928, 35.6529313 139.5548333)",,,,
51409837,unclassified,False,False,14.433,"LINESTRING (35.6516312 139.544765, 35.6515838 139.5449137)",,,,
1082910705,footway,False,False,11.462,"LINESTRING (35.6500778 139.5582624, 35.6500259 139.5581528)",,,,
778788452,footway,False,False,54.592,"LINESTRING (35.6529313 139.5548333, 35.6530015 139.5542353)",,,,
778788452,footway,False,False,47.441,"LINESTRING (35.6530015 139.5542353, 35.6530402 139.5537124)",,,,
778788452,footway,False,False,38.804,"LINESTRING (35.6530402 139.5537124, 35.6530845 139.5532864)",,,,
1186151007,footway,False,False,3.046,"LINESTRING (35.6552827 139.5445068, 35.6552883 139.5444738)",,,,
778788452,footway,False,False,37.054,"LINESTRING (35.6530845 139.5532864, 35.6531384 139.5528817)",,,,
148585929,residential,False,True,9.473,"LINESTRING (35.6490564 139.5534532, 35.6490754 139.5535554)",,,,
51409837,unclassified,False,False,36.053,"LINESTRING (35.6514568 139.5452779, 35.6514488 139.5453755, 35.651374 139.545662)",,,,
652577953,footway,False,False,36.396,"LINESTRING (35.6542771 139.5480245, 35.6543817 139.5476428)",,,,
26196118,tertiary,False,True,78.047,"LINESTRING (35.6506599 139.5569883, 35.6507095 139.5569609, 35.6507583 139.5569389, 35.6508183 139.5569221, 35.6508801 139.556913, 35.6513518 139.5569023)",2,,40,
26196119,primary,False,True,9.595,"LINESTRING (35.6505084 139.5570997, 35.6505802 139.5570408)",2,狛江通り,40,11
163192404,residential,False,False,43.347,"LINESTRING (35.6497462 139.5517134, 35.6495566 139.5516905, 35.6493613 139.5516415)",,,,
652577953,footway,False,False,23.725,"LINESTRING (35.6542049 139.5482716, 35.6542771 139.5480245)",,,,
652577953,footway,False,False,27.906,"LINESTRING (35.654128 139.5485656, 35.6542049 139.5482716)",,,,
497191223,residential,False,False,107.202,"LINESTRING (35.6496845 139.5497657, 35.6496462 139.5501422, 35.6496194 139.5505716, 35.6496158 139.5509479)",,,20,
176722544,footway,False,False,31.152,"LINESTRING (35.6503306 139.5573959, 35.6505324 139.5571878, 35.6505422 139.5571709)",,,,
51409837,unclassified,False,False,22.967,"LINESTRING (35.651374 139.545662, 35.6513006 139.5458996)",,,,
26196119,primary,False,False,14.873,"LINESTRING (35.6500746 139.5574843, 35.6499702 139.5575872)",2,狛江通り,40,11
163192406,residential,False,True,29.464,"LINESTRING (35.6491802 139.550903, 35.6491643 139.5512285)",,,,
163192406,residential,False,True,50.019,"LINESTRING (35.6490959 139.5518157, 35.6490758 139.5519941, 35.6490625 139.5523672)",,,,
1186151007,footway,False,False,10.251,"LINESTRING (35.6550924 139.5451601, 35.6551233 139.5450532)",,,,
163192404,residential,False,True,25.593,"LINESTRING (35.6491364 139.5515813, 35.6493613 139.5516415)",,,,
163192406,residential,False,True,21.653,"LINESTRING (35.6491364 139.5515813, 35.6490959 139.5518157)",,,,
1186151007,footway,False,False,45.839,"LINESTRING (35.6551434 139.5449843, 35.6552827 139.5445068)",,,,
155453481,tertiary,False,True,48.611,"LINESTRING (35.6496158 139.5509479, 35.6493076 139.5509194, 35.6491802 139.550903)",2,布田南通り,30,
693675881,footway,False,True,4.962,"LINESTRING (35.6532681 139.5517534, 35.6533082 139.5517293)",,,,
652577953,footway,False,False,63.667,"LINESTRING (35.6539405 139.5492314, 35.654128 139.5485656)",,,,
51409837,unclassified,False,False,5.414,"LINESTRING (35.6511717 139.5465792, 35.6511546 139.5466353)",,,,
176722442,footway,False,False,39.076,"LINESTRING (35.6500007 139.5576298, 35.6501726 139.558007)",,,,
778777391,footway,False,True,71.781,"LINESTRING (35.6496198 139.5552821, 35.6495685 139.556074)",,,,
